ID: 40 | Disease: Diabetes | Title: "Broken Wheat And Green Moong Khichdi" | Category: "Dinner" | Image: "/images/diabetes/6387c1df8b6edc635c09dab6a12814c284b38dcf.jpg"
ID: 41 | Disease: Diabetes | Title: "Moong Dal Tikki 3" | Category: "Snack" | Image: "/images/diabetes/676d08da1f758b9101e23f7ffc605e53525b300c.jpg"
ID: 42 | Disease: Diabetes | Title: "Grated Cucumber Raita" | Category: "Dinner" | Image: "/images/diabetes/69d786422dd150d911fdba1a70235afea86d6742.jpg"
ID: 43 | Disease: Diabetes | Title: "Beans Curry" | Category: "Dinner" | Image: "/images/diabetes/6a71bfa78125c87d38f08ed083b29df93cec63f6.jpg"
ID: 44 | Disease: Diabetes | Title: "Gawarphali Ki Sabzi" | Category: "Dinner" | Image: "/images/diabetes/6e07fa03b6a6f04050a94adb26a71c4a7197eb4a.jpg"
ID: 45 | Disease: Diabetes | Title: "Beetroot Carrot Raita" | Category: "Dinner" | Image: "/images/diabetes/73999f8c2ce8519c4e214cbb5c2fbe806073c1a9.jpg"
ID: 46 | Disease: Diabetes | Title: "Vegetable Lo Mein" | Category: "Dinner" | Image: "/images/diabetes/7442192cde7657bb2228f36502de57edb9aa35a2.jpg"
ID: 47 | Disease: Diabetes | Title: "Fish Tandoori" | Category: "Dinner" | Image: "/images/diabetes/78432be1a5d39db5eac511a1152cf9f003862e7c.jpg"
ID: 48 | Disease: Diabetes | Title: "Papaya And Carrot Halwa" | Category: "Snack" | Image: "/images/diabetes/78ff6a416bc62658dc5d3a9868907fa35bffd0c5.jpg"
ID: 49 | Disease: Diabetes | Title: "Homemade Paneer 3" | Category: "Dinner" | Image: "/images/diabetes/7ccc5d46e1b89e882a208b7f3d4e5bd61dcace45.jpg"
ID: 50 | Disease: Diabetes | Title: "Sprouted Moong Dal" | Category: "Lunch" | Image: "/images/diabetes/803fd5ec377acee123ff411a25eb20a2f461173f.jpg"
ID: 51 | Disease: Diabetes | Title: "Prawn Masala Rice" | Category: "Dinner" | Image: "/images/diabetes/813a1d0c490c397fb1ff668e829a5c9b041f45f2.jpg"
ID: 52 | Disease: Diabetes | Title: "Karela Masala Sabzi" | Category: "Dinner" | Image: "/images/diabetes/815d30e8e9488bf7859e954230953cbdd3051cb1.jpg"
ID: 53 | Disease: Diabetes | Title: "South Indian Egg Curry" | Category: "Lunch" | Image: "/images/diabetes/8419b71648acdcb33c8c54d47f10c19c3d8c939c.jpg"
ID: 54 | Disease: Diabetes | Title: "Quinoa Vegetable Upma 2" | Category: "Breakfast" | Image: "/images/diabetes/8747e84298fded627a7dc6cd9af2292f1432f04e.jpg"
