Title: "Crispy Baked Vegetable Samosas" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_018.jpg"
Title: "Handvo (Baked & Stovetop)" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_019.jpg"
Title: "Dal Dhokla" | Raw Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_020.jpg"
Title: "Spicy Street Chana Chaat" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_021.jpg"
Title: "Pomegranate Spinach Salad with Oranges and Pumpkin" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_022.jpg"
Title: "Vermicelli Paneer Cucumber Salad with Curd" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_023.jpg"
Title: "Kachumber Salad" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_024.jpg"
Title: "Cucumber Carrot Salad" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_025.jpg"
Title: "Indian Style Beet Salad" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_026.jpg"
Title: "Sprouted Moong Salad" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_027.jpg"
Title: "Mixed Vegetable Chaat" | Raw Category: "Snack" | Image: "/images/bp/BPFoodItems_extracted/page_028.jpg"
Title: "Boondi Raita" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_029.jpg"
Title: "Cucumber Raita" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_030.jpg"
Title: "Bottle Gourd Soup" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_031.jpg"
Title: "Milagu Rasam (Hot Pepper Rasam)" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_032.jpg"
Title: "Garlic Rasam" | Raw Category: "Drink" | Image: "/images/bp/BPFoodItems_extracted/page_033.jpg"
Title: "Green Moong Dal" | Raw Category: "Dinner" | Image: "/images/bp/BPFoodItems_extracted/page_034.jpg"
